Date,Name,Year,LetterboxdURI,Rating,Rewatch,Tags,WatchedDate
2024-03-01,Dune,2021,https://boxd.it/5WOPmJ,5,,,2021-10-24
2023-12-30,Uncharted,2022,https://boxd.it/5r3JdD,1,,,2023-01-22
2023-12-30,Shotgun Wedding,2022,https://boxd.it/5r3K5v,2,,,2023-01-28
2023-12-30,The Banshees of Inisherin,2022,https://boxd.it/5r3ABh,4,,,2023-02-11
2023-12-30,The Woman King,2022,https://boxd.it/5r3KPN,3,,,2023-03-25
2023-12-30,Creed III,2023,https://boxd.it/5r3M3V,3.5,,,2023-03-30
2023-12-30,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/5qXfof,2,,,2023-06-10
2023-12-30,Ghosted,2023,https://boxd.it/5r40GH,2,,,2023-06-17
2023-12-30,Triangle of Sadness,2022,https://boxd.it/5r3BOL,3,,,2023-07-01
2023-12-30,The Ballad of Buster Scruggs,2018,https://boxd.it/5r422z,4,Yes,,2023-07-22
2023-12-30,Air,2023,https://boxd.it/5r42LT,3.5,,,2023-07-27
2023-12-30,Happiness for Beginners,2023,https://boxd.it/5r43vd,2,,,2023-07-28
2023-12-30,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/5r44sT,2,,,2023-07-29
2023-12-30,Barbie,2023,https://boxd.it/5qXd0b,4,,,2023-07-30
2023-12-30,John Wick: Chapter 4,2023,https://boxd.it/5r45RZ,3.5,,,2023-08-05
2023-12-30,Extraction 2,2023,https://boxd.it/5r46UZ,4,,,2023-08-06
2023-12-30,Oppenheimer,2023,https://boxd.it/5qWmad,4.5,,,2023-08-07
2023-12-30,RRR,2022,https://boxd.it/5r48vd,3,,,2023-08-18
2023-12-30,Asteroid City,2023,https://boxd.it/5r496N,3.5,,,2023-09-03
2023-12-30,The Little Mermaid,2023,https://boxd.it/5r49RJ,2,,,2023-09-08
2023-12-30,The Creator,2023,https://boxd.it/5r11ah,2.5,,,2023-10-07
2023-12-30,No Hard Feelings,2023,https://boxd.it/5r4aGx,2,,,2023-10-27
2023-12-30,Quiz Lady,2023,https://boxd.it/5r4bmj,2,,,2023-11-04
2023-12-30,Fast X,2023,https://boxd.it/5r4cMn,2,,,2023-11-11
2023-12-30,Mission: Impossible â€“ Dead Reckoning,2023,https://boxd.it/5r4eo3,2,,,2023-11-12
2023-12-30,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5qWkP9,3,,,2023-11-23
2023-12-30,Godzilla Minus One,2023,https://boxd.it/5qWhcj,5,,,2023-12-16
2023-12-30,The Iron Claw,2023,https://boxd.it/5qWg4t,4.5,,,2023-12-26
2023-12-30,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5rhZDb,4.5,,,2023-12-29
2024-01-04,The Super Mario Bros. Movie,2023,https://boxd.it/5ualkV,2,,,2024-01-02
2024-01-05,Rye Lane,2023,https://boxd.it/5v4S23,3,,,2024-01-04
2024-01-07,Wonka,2023,https://boxd.it/5wx8GN,2.5,,,2024-01-06
2024-02-03,Anyone But You,2023,https://boxd.it/5Kvyub,3,,,2024-02-02
2024-02-15,Upgraded,2024,https://boxd.it/5PXtkB,2,,,2024-02-14
2024-02-18,The Marvels,2023,https://boxd.it/5RlCx7,2,,,2024-02-17
2024-02-20,Dream Scenario,2023,https://boxd.it/5SkCNV,3.5,,,2024-02-18
2024-03-01,Leap Year,2010,https://boxd.it/5WNERJ,2,,,2024-02-29
2024-03-03,Dune,2021,https://boxd.it/5XOVTD,5,Yes,,2024-03-02
2024-03-10,Dune: Part Two,2024,https://boxd.it/60XkQn,5,,,2024-03-09
2024-03-11,Damsel,2024,https://boxd.it/61Hnfh,2,,,2024-03-10
2024-03-16,Don't Worry Darling,2022,https://boxd.it/63TLO3,3.5,,,2024-03-15
2024-03-17,Get Out,2017,https://boxd.it/64sU3Z,5,Yes,,2024-03-16
2024-03-23,Nope,2022,https://boxd.it/6726fr,4,,,2024-03-22
2024-04-05,Killers of the Flower Moon,2023,https://boxd.it/6dkn7z,4,,,2024-04-05
2024-04-08,American Fiction,2023,https://boxd.it/6eJsbv,4,,,2024-04-07
2024-04-18,The Martian,2015,https://boxd.it/6iAhM9,4,Yes,,2024-04-17
2024-04-20,Shin Godzilla,2016,https://boxd.it/6ji6MP,3,,,2024-04-19
2024-04-28,Challengers,2024,https://boxd.it/6mxPKh,4,,,2024-04-27
2024-04-30,The Boys in the Boat,2023,https://boxd.it/6nrbAD,3,,,2024-04-29
2024-05-04,The Idea of You,2024,https://boxd.it/6p7LZd,2,,,2024-05-03
2024-05-05,Past Lives,2023,https://boxd.it/6pCGYL,5,,,2024-05-04
2024-05-07,Godzilla,2014,https://boxd.it/6qABrn,3,Yes,,2024-05-06
2024-06-04,The Holdovers,2023,https://boxd.it/6BQrTR,4,,,2024-06-02
2024-06-10,Kong: Skull Island,2017,https://boxd.it/6Eh9ph,2,,,2024-06-09
2024-06-19,Hit Man,2023,https://boxd.it/6HMDb9,4,,,2024-06-17
2024-06-24,Ferrari,2023,https://boxd.it/6JvU0V,3.5,,,2024-06-23
2024-06-25,The Fall Guy,2024,https://boxd.it/6JX16F,3,,,2024-06-23
2024-06-30,Inside Out,2015,https://boxd.it/6M5dX1,4,Yes,,2024-06-29
2024-07-01,Inside Out 2,2024,https://boxd.it/6MyV4d,3,,,2024-06-30
2024-07-08,Role Play,2023,https://boxd.it/6PyGCB,2,,,2024-07-07
2024-07-13,Next Goal Wins,2023,https://boxd.it/6RHXpv,2.5,,,2024-07-12
2024-07-20,Twisters,2024,https://boxd.it/6UTNib,3.5,,,2024-07-19
2024-08-28,Furiosa: A Mad Max Saga,2024,https://boxd.it/7cDtmR,4,,,2024-08-27
2024-09-01,Godzilla: King of the Monsters,2019,https://boxd.it/7eg7Qn,2,,,2024-08-31
2024-09-01,Jackpot!,2024,https://boxd.it/7em56T,2,,,2024-08-31
2024-09-02,It Ends with Us,2024,https://boxd.it/7eWrg9,3,,,2024-09-01
2024-09-28,Wolfs,2024,https://boxd.it/7pZYgL,3.5,,,2024-09-26
2024-09-29,Tetris,2023,https://boxd.it/7qJn3n,2.5,,,2024-09-28
2024-10-05,The Instigators,2024,https://boxd.it/7txbqR,3,,,2024-10-04
2024-11-01,Halloweentown,1998,https://boxd.it/7HkyF1,0.5,,,2024-10-31
2024-11-04,School of Rock,2003,https://boxd.it/7JbauD,4,Yes,,2024-11-03
2024-12-02,Wicked,2024,https://boxd.it/7XfotN,3,,,2024-12-01
2024-12-10,Interstellar,2014,https://boxd.it/8193qx,5,Yes,,2024-12-10
2024-12-14,Nutcrackers,2024,https://boxd.it/82UW11,4,,,2024-12-13
2024-12-15,The Wild Robot,2024,https://boxd.it/83yBBn,3,,,2024-12-14
2024-12-28,Hundreds of Beavers,2022,https://boxd.it/8coksT,4,,,2024-12-28
2024-12-30,A Quiet Place: Day One,2024,https://boxd.it/8ef8zD,2.5,,,2024-12-29
2025-01-01,Rebel Ridge,2024,https://boxd.it/8fSQwZ,4,,,2024-12-31
2025-01-06,Monkey Man,2024,https://boxd.it/8lcc0J,3.5,,,2025-01-05
2025-01-28,Grounded II: Making The Last of Us Part II,2024,https://boxd.it/8E0Em1,4,,,2025-01-27
2025-02-02,Moana 2,2024,https://boxd.it/8HBM75,2.5,,,2025-02-01
